recipe_id,recipe_name,category,area,country,ingredient_names,ingredient_measures,ingredient_count,source_url,youtube_url,thumbnail_url,mealdb_url,fetched_at
mealdb#53208,Thai coconut & veg broth,Vegetarian,Thai,Thailand,Thai Red Curry Paste|Vegetable Oil|Vegetable Stock|Coconut Milk|Brown Sugar|Egg Noodles|Carrots|Chinese Leaf|Bean Sprouts|Cherry Tomatoes|Lime|Spring Onions|Coriander,1 ½ tbsp|1 tsp|1 L|400ml|2 tsp|175g|2|1/2|150g|6|Juice of 1|3 sliced thinly|Handful,13,https://www.bbcgoodfood.com/recipes/thai-coconut-veg-broth,https://www.youtube.com/watch?v=1OeM2sdLOPk,https://www.themealdb.com/images/media/meals/4k8nzy1763583384.jpg,https://www.themealdb.com/meal/53208,2026-08-10T01:05:06Z
mealdb#53195,Thai curry noodle soup,Seafood,Thai,Thailand,Vegetable Oil|Thai Green Curry Paste|Stir-fry Vegetables|Raw King Prawns|Coconut Milk|Vegetable Stock|Udon Noodles|Coriander|Basil|Red Chilli|Spring Onions,1 teaspoon|1 tbsp|220g|150g|150ml|225ml|250g|10g|10g|1 sliced|1 sliced,11,https://www.bbcgoodfood.com/recipes/thai-curry-noodle-soup,https://www.youtube.com/watch?v=FN8tcugjCFs,https://www.themealdb.com/images/media/meals/118oj61763423896.jpg,https://www.themealdb.com/meal/53195,2026-08-10T01:05:06Z
mealdb#53212,Thai drumsticks,Chicken,Thai,Thailand,sweet chilli sauce|Orange|Orange|Garlic|Thai Red Curry Paste|Chicken drumsticks,2 tablespoons|Zest of 1|2 tblsp|1 clove peeled crushed|1 tblsp|8,6,https://www.bbcgoodfood.com/recipes/fragrant-thai-drumsticks,https://www.youtube.com/watch?v=lv1tj9FK3f0,https://www.themealdb.com/images/media/meals/ittake1763586925.jpg,https://www.themealdb.com/meal/53212,2026-08-10T01:05:06Z
mealdb#53198,Thai fried rice with prawns & peas,Seafood,Thai,Thailand,Vegetable Oil|Red Onions|Garlic Clove|Red Chilli|Raw King Prawns|Brown Rice|Frozen Peas|Soy Sauce|Fish Sauce|Coriander|Egg|Hotsauce,2 tbsp|1 sliced|2 sliced|1 sliced|250g|140g|75g|1 tablespoon|1 tablespoon|Bunch|4 large|To serve,12,https://www.bbcgoodfood.com/recipes/thai-fried-rice-prawns-peas,https://www.youtube.com/watch?v=9wZAYbPcF-I,https://www.themealdb.com/images/media/meals/hblwvg1763478203.jpg,https://www.themealdb.com/meal/53198,2026-08-10T01:05:06Z
mealdb#53214,Thai green chicken soup,Chicken,Thai,Thailand,Sunflower Oil|Onion|Chicken Thighs|Garlic Clove|Thai Green Curry Paste|Coconut Milk|Chicken Stock|Lime Leaves|Fish Sauce|Spring Onions|Green Beans|Bamboo Shoot|Lime|Basil,2 tblsp|1 chopped|500g|4 sliced|280g|400ml|2 Litres|5|2 tblsp|1 bunch|280g|150g|Juice of 2|Bunch,14,https://www.bbcgoodfood.com/recipes/thai-green-chicken-soup,https://www.youtube.com/watch?v=3s4Yitd546w,https://www.themealdb.com/images/media/meals/7kb44y1763589084.jpg,https://www.themealdb.com/meal/53214,2026-08-10T01:05:06Z
mealdb#52814,Thai Green Curry,Chicken,Thai,Thailand,Potatoes|green beans|sunflower oil|garlic|Thai green curry paste|coconut milk|Thai fish sauce|Sugar|Chicken|lime|basil|Rice,225g new|100g|1 tbsp|1 clove|4 tsp|400ml|2 tsp|1 tsp|450g boneless|2 fresh kaffir leaves|handfull|Boiled,12,http://www.bbcgoodfood.com/recipes/3235/thai-green-chicken-curry,https://www.youtube.com/watch?v=LIbKVpBQKJI,https://www.themealdb.com/images/media/meals/sstssx1487349585.jpg,https://www.themealdb.com/meal/52814,2026-08-10T01:05:06Z
mealdb#53197,Thai pork & peanut curry,Pork,Thai,Thailand,Vegetable Oil|Spring Onions|Coriander|Pork Tenderloin|Thai Red Curry Paste|Peanut Butter|Brown Sugar|Soy Sauce|Coconut Milk|Sweetcorn|Lime|Jasmine Rice,1 tablespoon|Bunch|Bunch|400g|4 tablespoons|4 tablespoons|1 tablespoon|1 tbsp|400ml|175g|Juice of 1|Steamed,12,https://www.bbcgoodfood.com/recipes/thai-pork-peanut-curry,https://www.youtube.com/watch?v=cxryD8ZHCdQ,https://www.themealdb.com/images/media/meals/snmtd61763426568.jpg,https://www.themealdb.com/meal/53197,2026-08-10T01:05:06Z
mealdb#53205,Thai prawn curry,Seafood,Thai,Thailand,Vegetable Oil|Onion|Ginger|Thai Red Curry Paste|Tinned Tomatos|Coconut Cream|Raw Frozen Prawns|Coriander,1 tbls|1 chopped|1 tsp|2 tsp|400g|50g|400g|Chopped,8,https://www.bbcgoodfood.com/recipes/easy-thai-prawn-curry,https://www.youtube.com/watch?v=dEMPVKQXSYA,https://www.themealdb.com/images/media/meals/qqlwv91763501559.jpg,https://www.themealdb.com/meal/53205,2026-08-10T01:05:06Z
mealdb#53210,Thai pumpkin soup,Vegetarian,Thai,Thailand,Pumpkin|Sunflower Oil|Onion|Ginger|Lemongrass|Thai Red Curry Paste|Coconut Milk|Vegetable Stock|Lime juice|Sugar|Red Chilli,1.5kg|4 tsp|1 sliced|1 tbsp grated|1|4 tablespoons|400ml|800ml|To taste|To taste|To serve,11,https://www.bbcgoodfood.com/recipes/thai-pumpkin-soup,https://www.youtube.com/watch?v=X3BxTRAhgTc,https://www.themealdb.com/images/media/meals/1brbso1763585098.jpg,https://www.themealdb.com/meal/53210,2026-08-10T01:05:06Z
mealdb#53203,Thai rice noodle salad,Vegetarian,Thai,Thailand,Vermicelli Rice Noodles|Bean Sprouts|Lime|Fish Sauce|Muscovado Sugar|Red Onions|Lettuce|Minced Pork|Ginger|Cayenne Pepper|Sunflower Oil|Sesame Seed|Oil|Sirloin steak|Red Chilli,1/2 bag|200g|Zest and juice of 2|2-3 tbsp|1 tsp|1 sliced|2 small|500g|Knob|Pinch|1 tsp|2 tblsp|1 tsp|4|1 sliced,15,https://www.bbcgoodfood.com/recipes/thai-rice-noodle-salad,,https://www.themealdb.com/images/media/meals/6g3rso1763486069.jpg,https://www.themealdb.com/meal/53203,2026-08-10T01:05:06Z
