primary_key,store_id,store_name,chain,region,product_id,product_name,brand,size,price,category
new_world_newmarket_5020153-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5020153-EA-000,Mixed Berries,Oob Organic,450g,10.39,Fresh Fruit
new_world_newmarket_5295357-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5295357-EA-000,Mixed Berries,Serious Organic,400g,8.99,Fresh Fruit
new_world_newmarket_5086541-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5086541-EA-000,Imported Strawberries,,250g,6.99,Fresh Fruit
new_world_newmarket_5105651-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5105651-KGM-000,Skinless Chicken Breast,,kg,12.99,Chicken & Poultry
new_world_newmarket_5221711-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5221711-EA-000,Boneless Skinless Chicken Breast,Pams Free Range,400g,9.99,Chicken & Poultry
new_world_newmarket_5226616-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5226616-KGM-000,Free Range Skinless Chicken Breast,Waitoa,kg,25.49,Chicken & Poultry
new_world_newmarket_5139623-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5139623-EA-000,Diced Chicken Breast,Pams Free Range,450g,8.99,Chicken & Poultry
new_world_newmarket_5206913-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5206913-KGM-000,100% Certified Organic Free Range Skinless Chicken Breast,Bostock Brothers,kg,32.2,Chicken & Poultry
new_world_newmarket_5221708-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5221708-EA-000,Boneless Skinless Chicken Thighs,Pams Free Range,400g,10.99,Chicken & Poultry
new_world_newmarket_5226622-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5226622-KGM-000,Free Range Skinless Chicken Thigh Fillet,Waitoa,kg,30.49,Chicken & Poultry
new_world_newmarket_5303533-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5303533-EA-000,100% Certified Organic Free Range Chicken Tenders,Bostock Brothers,500g,15.59,Chicken & Poultry
new_world_newmarket_5105213-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5105213-KGM-000,NZ Chicken Drumsticks,,kg,8.49,Chicken & Poultry
new_world_newmarket_5307661-KGM-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5307661-KGM-000,Chicken Nibbles Medium Tray,,kg,13.49,Chicken & Poultry
new_world_newmarket_5041957-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5041957-EA-000,Free Range Whole Chicken,Waitoa,1.5kg,17.75,Chicken & Poultry
new_world_newmarket_5028347-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5028347-EA-000,Whole Chicken with Garden Herbs Stuffing,Waitoa,1.5kg,17.75,Chicken & Poultry
new_world_newmarket_5027004-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5027004-EA-000,Manuka Honey & Rosemary Chicken,Waitoa,1.1kg,15.17,"Breakfast Cereals, Oats & Spreads"
new_world_newmarket_5203717-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5203717-EA-000,Wagyu Beef Mince,First Light,400g,13.99,Beef & Lamb
new_world_newmarket_5349090-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5349090-EA-000,Beef Mince,Hellers,340g,9.49,Beef & Lamb
new_world_newmarket_5242835-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5242835-EA-000,Premium Beef Mince,Harmony Organic,400g,16.49,Beef & Lamb
new_world_newmarket_5230106-EA-000,51ee2a79-4693-410c-9287-66940847736d,New World Newmarket,New World,Central Auckland,5230106-EA-000,Wagyu Beef Meatballs,First Light,400g,13.49,Beef & Lamb
