primary_key,store_id,store_name,product_id,product_name,brand,size,price,category
new_world_5003553-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5003553-EA-000,Tealight Candles,National Candle,10pk,7.39,Household Cleaning & Paper
new_world_5274302-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5274302-EA-000,SkinActive Green Tea + Hyaluronic Acid Hydra Bomb Tissue Mask,Garnier,100g,7.49,Personal Care
new_world_5329511-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5329511-EA-000,Cranberry Fruit Drink,Thexton's,1L,4.99,"Soft Drinks, Water & Juice"
new_world_5093874-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5093874-EA-000,Sparkling White Grape Juice Drink,Phoenix,1L,4.99,Juice & Smoothies
new_world_5019233-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5019233-EA-000,Chilled Quench Peach & Passion 1.5l,Charlie's,1L,7.39,"Soft Drinks, Water & Juice"
new_world_5208413-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5208413-EA-000,Berry Smoothie,The Homegrown Juice Company,1L,2.19,Juice & Smoothies
new_world_5336368-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5336368-EA-000,Double Espresso Protein Smoothie,Rokeby,1L,5.49,Juice & Smoothies
new_world_5002270-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5002270-EA-000,Pineapple Chunks In Juice,Dole,1kg,2.19,Juice & Smoothies
new_world_5020907-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5020907-EA-000,Natural Spring Water,Tongariro,1L,4.99,"Soft Drinks, Water & Juice"
new_world_5023643-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5023643-EA-000,Lemon Light Sparkling Spring Water,Kiwi Blue,1L,2.39,"Soft Drinks, Water & Juice"
new_world_5006781-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5006781-EA-000,Sparkling Water,Antipodes,1L,6.49,"Soft Drinks, Water & Juice"
new_world_5348648-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5348648-EA-000,Coconut Twist Chocolate Flavour Coconut Water,UFC,1L,5.99,"Soft Drinks, Water & Juice"
new_world_5339480-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5339480-EA-000,Coffee Coconut Water,Cocobella,1L,5.49,Coffee
new_world_5002411-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5002411-EA-000,Lime Soft Drink,Sparkling Duet,1L,2.49,"Soft Drinks, Water & Juice"
new_world_5094826-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5094826-EA-000,Cola Flavour 99% Sugar Free Soft Drink,Value,1L,1.29,"Soft Drinks, Water & Juice"
new_world_5001901-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5001901-EA-000,Soft Drink,L&P,1L,5.49,"Soft Drinks, Water & Juice"
new_world_5005357-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5005357-EA-000,Soft Drink,Pepsi,1L,4.49,"Soft Drinks, Water & Juice"
new_world_5325105-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5325105-EA-000,Zero Sugar Soft Drink Cans,Pepsi Max,1L,15.99,"Soft Drinks, Water & Juice"
new_world_5324090-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5324090-EA-000,Melon Sparkling Soft Drink,Ramune,1L,3.49,"Soft Drinks, Water & Juice"
new_world_5032315-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5032315-EA-000,Classic Soda Water Cans,Schweppes,1L,6.69,"Soft Drinks, Water & Juice"
new_world_5347732-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5347732-EA-000,Pre+ Pro+ Postbiotic Grape Soda,Good Juju,1L,4.0,"Soft Drinks, Water & Juice"
new_world_5342695-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5342695-EA-000,Creamy Cheese Bruschetta Chips,Krambals,100g,3.49,"Chips, Nuts & Snacks"
new_world_5313491-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5313491-EA-000,Munchos Spicy Tomato Cereal Snacks,Griffin's,100g,4.19,Canned Foods & Packets
new_world_5267629-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5267629-EA-000,Lightly Salted Cantina Style Tortilla Chips,Tostitos,100g,3.89,"Chips, Nuts & Snacks"
new_world_5020744-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5020744-EA-000,Lightly Salted Corn Chips,Mexicano,100g,4.99,"Chips, Nuts & Snacks"
new_world_5212929-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5212929-EA-000,Double Cheese Flavoured Corn Chips,Pams,100g,2.59,"Chips, Nuts & Snacks"
new_world_5036438-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5036438-EA-000,Original Salted Corn Chips,Doritos,100g,3.89,"Chips, Nuts & Snacks"
new_world_5328664-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5328664-EA-000,Dip Sensations Kumara Dip,Continental,100g,2.19,"Dips, Hummus & Antipasti"
new_world_5009660-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5009660-EA-000,Berry And Biscuit 33% Cocoa Milk Chocolate Block,Whittaker's,100g,8.49,Biscuits & Crackers
new_world_5287053-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5287053-EA-000,Hokey Pokey Crunch 33% Cocoa Milk Chocolate Block,Whittaker's,100g,8.49,"Chocolate, Sweets & Chewing Gum"
new_world_5307536-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5307536-EA-000,Hazella Creamy Milk Chocolate Block,Whittaker's,100g,8.49,"Chocolate, Sweets & Chewing Gum"
new_world_5215070-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5215070-EA-000,Caramilk Chocolate Block,Cadbury,100g,6.99,"Chocolate, Sweets & Chewing Gum"
new_world_5249665-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5249665-EA-000,Marvelous Creations Jelly Popping Candy Beanies Chocolate Block,Cadbury Dairy Milk,100g,6.99,"Chocolate, Sweets & Chewing Gum"
new_world_5277054-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5277054-EA-000,Caramel Sea Salt Milk Chocolate Bar,Tony's Chocolonely,100g,11.99,"Chocolate, Sweets & Chewing Gum"
new_world_5244770-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5244770-EA-000,Lindor Pistachio Chocolates Pouch,Lindt,100g,15.49,"Chocolate, Sweets & Chewing Gum"
new_world_5020911-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5020911-EA-000,Chocolate Coated Coffee Beans,L'affare,100g,7.79,"Chocolate, Sweets & Chewing Gum"
new_world_5014475-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5014475-EA-000,Raspberry Choc Logs,RJ's,100g,3.09,"Chocolate, Sweets & Chewing Gum"
new_world_5027292-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5027292-EA-000,Hokey Pokey Chocolate Biscuits,Griffin's Squiggles,100g,5.99,Biscuits & Crackers
new_world_5008240-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5008240-EA-000,Chocolate Sandwiches Biscuits,Pams,100g,3.49,Biscuits & Crackers
new_world_5011523-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5011523-EA-000,The Original Chocolate Chunk Bite Size Cookies,Cookie Time,100g,6.97,Biscuits & Crackers
new_world_5349757-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5349757-EA-000,Chockie Chippies Minis Biscuits,Griffin's,100g,2.49,Biscuits & Crackers
new_world_5335155-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5335155-EA-000,Secret Centre Biscuits,Bounty,100g,5.29,Biscuits & Crackers
new_world_5328226-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5328226-EA-000,40% Chocolate Triple Chocolate Chunk Cookies,Higgins,100g,5.49,Biscuits & Crackers
new_world_5010904-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5010904-EA-000,Bites,Griffin's Toffee Pops,100g,4.99,Biscuits & Crackers
new_world_5003075-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5003075-EA-000,Milk Arrowroot Biscuits,Arnott's,100g,3.59,Biscuits & Crackers
new_world_5249287-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5249287-EA-000,Coconut Macaroon Cookies,Pams Gluten Free,100g,4.19,Biscuits & Crackers
new_world_5017290-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5017290-EA-000,Gluten Free Vegan Delicious Homestyle Almond Cookies,Kea Cookies,100g,7.19,Biscuits & Crackers
new_world_5017291-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5017291-EA-000,Gluten Free Vegan Delicious Homestyle Peanut Brownies Cookies,Kea Cookies,100g,7.19,Biscuits & Crackers
new_world_5012814-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5012814-EA-000,Pub Style Chunky Beer Batter Chips,McCain,1kg,5.99,Frozen Chips & Hash Browns
new_world_5021887-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5021887-EA-000,Golden Crunch Chunky Cut Chips,Birds Eye,1kg,6.04,Frozen Chips & Hash Browns
new_world_5022679-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5022679-EA-000,Sea Salt & Rosemary Chips,Birds Eye Deli,1kg,6.34,Frozen Chips & Hash Browns
new_world_5263298-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5263298-EA-000,Golden Ale Beer Batter Seasoned Chips,Birds Eye Deli,1kg,6.34,Frozen Chips & Hash Browns
new_world_5003748-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5003748-EA-000,Frozen Garden Peas,Pams,1kg,3.49,Frozen Vegetables
new_world_5207147-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5207147-EA-000,Beef Casserole Frozen Meal,Tomorrow's Meals,100g,11.89,Frozen Meals & Snacks
new_world_5295266-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5295266-EA-000,Frozen Dough Pizza,Organic Dough Co,ea,13.49,Frozen Meals & Snacks
new_world_5004964-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5004964-EA-000,Classic Mixed Savouries,Pams,ea,6.99,Frozen Meals & Snacks
new_world_5261984-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5261984-EA-000,Marvels Wildberry Ambrosia Yoghurt Ice Cream,Much Moore,100ml,6.29,Ice Cream & Desserts
new_world_5328633-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5328633-EA-000,Rocky Road Caramel Ice Cream,Tip Top,100ml,8.99,Ice Cream & Desserts
new_world_5034048-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5034048-EA-000,Peppermint Ice Cream,Magnum,100ml,11.79,Ice Cream & Desserts
new_world_5015103-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5015103-EA-000,Vanilla Slices Ice Cream,Tip Top,100ml,10.99,Ice Cream & Desserts
new_world_5328830-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5328830-EA-000,Double Caramel Ego Ice Cream,Magnum,100ml,9.99,Ice Cream & Desserts
new_world_5295460-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5295460-EA-000,Cheeky Chocolate Mochi Bites,NOM,100g,7.99,Ice Cream & Desserts
new_world_5034239-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5034239-EA-000,BBQ Chicken Pizza,Romano's,100g,4.99,Frozen Meals & Snacks
new_world_5085792-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5085792-EA-000,Meatlovers Pizza Slices,McCain,100g,9.79,Frozen Meals & Snacks
new_world_5085212-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5085212-EA-000,Ready To Bake Pizza Bases,Paneton,100g,7.49,Frozen Meals & Snacks
new_world_5091105-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5091105-EA-000,Smokey Chipotle Chilli Shredded Beef Burrito,Cartel Food Co,100g,6.49,Frozen Meals & Snacks
new_world_5319790-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5319790-EA-000,Entree Cottage Pie,On The Menu,100g,5.19,Frozen Meals & Snacks
new_world_5337196-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5337196-EA-000,Ham & Cheese Mini Pizza,Posh Poppas,100g,8.49,Frozen Meals & Snacks
new_world_5012488-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5012488-EA-000,Basil Pesto Cashews & Parmesan Chunky Dip,Mediterranean,100g,5.29,"Dips, Hummus & Antipasti"
new_world_5009958-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5009958-EA-000,Garlic Pasta Sauce,Wattie's,100g,3.99,"Cooking Sauces, Stocks & Marinades"
new_world_5021338-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5021338-EA-000,Red Wine & Italian Herbs Pasta Sauce Jar,Dolmio,100g,5.29,"Cooking Sauces, Stocks & Marinades"
new_world_5286097-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5286097-EA-000,Homestyle Country Chicken Soup,The Good Taste Co.,100g,5.29,Chicken & Poultry
new_world_5021241-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5021241-EA-000,Soup Of The Day Homestyle Creamy Chicken,Wattie's,100g,4.99,Chicken & Poultry
new_world_5321109-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5321109-EA-000,Rich Tomato Soup With Basil And Cream,Naked,100g,6.99,Canned Foods & Packets
new_world_5335226-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5335226-EA-000,Chicken Laksa Soup,Pams,100g,4.99,Chicken & Poultry
new_world_5209791-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5209791-EA-000,Butter Chicken Meal,,1pk,9.99,Frozen Meals & Snacks
new_world_5268623-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5268623-EA-000,Macaroni Cheese Meal,Artisano,100g,13.49,Cheese
new_world_5039311-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5039311-EA-000,Butter Chicken Pie,Dad's Pies,100g,5.49,Frozen Meals & Snacks
new_world_5318223-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5318223-EA-000,Mince & Cheese Pie,Great Southern Pies,100g,5.49,Frozen Meals & Snacks
new_world_5019285-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5019285-EA-000,Very Special Creamy Mushroom Soup,Wattie's,100g,5.19,Canned Foods & Packets
new_world_5040789-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5040789-EA-000,Sweetcorn,,1pk,5.69,Vegetables
new_world_5001754-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5001754-EA-000,Refried Beans,Old El Paso,100g,4.89,Canned Foods & Packets
new_world_5039611-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5039611-EA-000,Borlotti Beans,Ceres Organics,1kg,2.99,Canned Foods & Packets
new_world_5286976-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5286976-EA-000,Killer Beans In Fuego Chilli Sauce,F.Whitlock & Sons,100g,3.69,Canned Foods & Packets
new_world_5018085-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5018085-EA-000,Vanilla Bean Custard 6+ Months,Only Organic,100g,2.29,Baking Supplies & Sugar
new_world_5089106-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5089106-EA-000,Madagascan Vanilla Bean Extract,Queen,10ml,7.79,Baking Supplies & Sugar
new_world_5038971-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5038971-EA-000,Pure Vanilla Beans,Heilala,ea,15.99,Baking Supplies & Sugar
new_world_5327946-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5327946-EA-000,Soothing Oat Milk Tonka Bean & Vanilla Body Wash,Glow Lab,100ml,19.23,Personal Care
new_world_5009786-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5009786-EA-000,Chunky Style Tuna In Spring Water,Sealord,1kg,9.29,"Soft Drinks, Water & Juice"
new_world_5001019-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5001019-EA-000,Lemon Pepper Flavour Tuna With Crackers,Sealord,100g,3.49,"Chips, Nuts & Snacks"
new_world_5027799-EA-000,c8998066-d39b-401c-aa6b-d6d18f8d122f,New World Albany,5027799-EA-000,Chunk Style Tuna In Springwater,John West,1kg,8.02,"Soft Drinks, Water & Juice"
